Store,Product_Category,Month,Quantity,Original_Price,Discount_%,Final_Price,Revenue,Customer_Rating
Kolkata,Groceries,May,22,170.53,15,144.95,3188.88,2.6
Mumbai,Sports,June,5,2423.45,5,2302.28,11511.4,4.4
Chennai,Furniture,January,30,3283.89,5,3119.7,93590.89,4.0
Chennai,Furniture,February,31,174.99,10,157.49,4882.28,3.8
Mumbai,Toys,May,4,3117.67,5,2961.79,11847.15,2.6
Kolkata,Groceries,April,24,3418.12,10,3076.31,73831.5,4.1
Mumbai,Toys,March,43,4713.18,10,4241.86,182399.97,4.6
Kolkata,Clothing,March,44,1442.41,15,1226.05,53946.12,2.8
Delhi,Toys,March,35,1749.12,5,1661.66,58158.1,3.3
Delhi,Clothing,February,34,1377.4,15,1170.79,39806.95,4.2
Delhi,Toys,March,29,292.01,0,292.01,8468.38,4.5
Mumbai,Furniture,February,37,3778.01,10,3400.21,125807.81,5.0
Kolkata,Furniture,February,49,3904.42,20,3123.54,153053.4,3.1
Pune,Toys,January,35,605.31,0,605.31,21185.74,3.8
Jaipur,Electronics,June,13,4488.06,0,4488.06,58344.83,2.6
Chennai,Electronics,March,12,1839.04,15,1563.18,18758.16,4.9
Kolkata,Furniture,March,47,508.09,20,406.47,19104.32,3.2
Mumbai,Furniture,March,21,3786.64,0,3786.64,79519.34,2.8
Chennai,Clothing,February,39,4980.06,5,4731.06,184511.34,3.6
Pune,Toys,March,11,673.63,15,572.58,6298.43,4.2
Delhi,Furniture,January,38,512.12,20,409.7,15568.55,3.1
Mumbai,Clothing,March,2,498.61,20,398.89,797.77,3.1
Kolkata,Toys,January,22,4082.72,0,4082.72,89819.79,4.0
Jaipur,Sports,April,31,2460.17,15,2091.14,64825.43,3.9
Bangalore,Clothing,February,19,644.87,10,580.38,11027.24,3.1
Delhi,Furniture,June,20,682.21,20,545.77,10915.32,4.6
Pune,Electronics,March,13,1263.78,0,1263.78,16429.16,3.4
Mumbai,Electronics,January,38,2238.05,5,2126.14,80793.45,2.5
Kolkata,Toys,May,47,4466.6,20,3573.28,167944.21,5.0
Chennai,Furniture,March,19,4849.58,5,4607.1,87534.96,2.9
Mumbai,Sports,January,3,4515.67,0,4515.67,13547.02,4.8
Delhi,Sports,April,24,3138.65,5,2981.72,71561.21,3.0
Delhi,Clothing,April,28,480.9,0,480.9,13465.19,3.1
Bangalore,Sports,January,9,1616.69,15,1374.18,12367.64,4.0
Kolkata,Toys,May,46,473.38,5,449.71,20686.79,3.5
Chennai,Electronics,February,10,4670.37,5,4436.85,44368.51,3.9
Chennai,Electronics,June,1,2453.81,0,2453.81,2453.81,3.4
Delhi,Electronics,June,27,2888.5,0,2888.5,77989.48,3.7
Bangalore,Electronics,May,48,469.26,15,398.87,19145.78,4.5
Pune,Toys,June,3,2821.62,20,2257.29,6771.88,4.3
Delhi,Clothing,March,17,1281.32,0,1281.32,21782.37,2.8
Bangalore,Toys,May,4,1220.35,0,1220.35,4881.4,4.4
Delhi,Furniture,February,34,2433.43,10,2190.09,74463.03,3.8
Jaipur,Electronics,June,44,2848.6,10,2563.74,112804.4,3.5
Kolkata,Toys,May,14,3549.99,10,3194.99,44729.88,4.8
Kolkata,Furniture,February,38,3079.63,5,2925.65,111174.66,3.5
Bangalore,Groceries,February,38,2309.46,15,1963.04,74595.6,3.2
Delhi,Groceries,January,5,4002.71,5,3802.58,19012.88,4.8
Delhi,Electronics,April,20,2349.77,5,2232.28,44645.54,4.1
Delhi,Toys,June,43,2940.28,10,2646.26,113789.02,2.7
Mumbai,Groceries,June,16,3240.29,15,2754.24,44067.89,3.4
Bangalore,Groceries,March,29,4868.24,20,3894.59,112943.18,3.0
Bangalore,Toys,May,18,1465.09,20,1172.07,21097.33,2.6
Hyderabad,Electronics,May,41,1844.36,5,1752.14,71837.75,2.8
Delhi,Toys,March,9,552.22,0,552.22,4970.01,4.2
Kolkata,Sports,March,48,399.28,5,379.32,18207.26,4.7
Kolkata,Electronics,March,15,2729.29,5,2592.83,38892.44,4.4
Hyderabad,Clothing,May,26,279.75,10,251.77,6546.1,4.3
Pune,Sports,March,47,249.31,5,236.85,11131.85,3.6
Bangalore,Groceries,January,37,993.19,0,993.19,36748.07,4.6
Hyderabad,Clothing,June,44,1242.76,20,994.21,43745.17,4.0
Jaipur,Clothing,March,41,2542.37,15,2161.01,88601.48,3.8
Delhi,Electronics,April,19,1955.99,20,1564.79,29730.99,3.4
Delhi,Clothing,March,45,1718.71,0,1718.71,77341.84,3.1
Hyderabad,Toys,June,6,1305.19,15,1109.41,6656.48,4.6
Hyderabad,Sports,June,31,372.7,0,372.7,11553.77,2.7
Bangalore,Toys,April,24,648.99,5,616.54,14796.99,3.9
Bangalore,Furniture,June,49,2504.67,10,2254.2,110455.9,4.6
Delhi,Groceries,February,45,3870.52,5,3676.99,165464.53,3.3
Bangalore,Furniture,January,20,1287.81,0,1287.81,25756.15,4.0
Kolkata,Sports,May,11,4666.87,20,3733.5,41068.46,3.8
Mumbai,Sports,February,10,2788.16,5,2648.75,26487.48,5.0
Chennai,Clothing,April,1,780.24,0,780.24,780.24,4.4
Bangalore,Sports,March,30,622.83,20,498.26,14947.83,4.6
Jaipur,Clothing,June,11,4697.87,15,3993.19,43925.07,3.4
Mumbai,Sports,April,29,784.88,0,784.88,22761.65,4.4
Jaipur,Sports,March,21,1013.38,10,912.05,19152.97,4.2
Delhi,Sports,April,25,4398.28,0,4398.28,109957.07,4.2
Kolkata,Sports,March,38,2744.93,0,2744.93,104307.23,3.1
Mumbai,Clothing,June,40,1222.22,10,1100.0,44000.08,3.6
Bangalore,Groceries,February,15,4405.28,0,4405.28,66079.24,3.8
Pune,Groceries,April,29,843.21,0,843.21,24453.0,4.3
Bangalore,Electronics,June,4,2892.46,5,2747.84,10991.35,3.7
Delhi,Electronics,June,38,2728.76,15,2319.44,88138.9,3.6
Jaipur,Toys,May,29,1223.33,15,1039.83,30155.13,4.4
Bangalore,Groceries,March,36,2759.35,10,2483.41,89402.93,4.0
Jaipur,Groceries,June,10,1778.37,5,1689.45,16894.5,4.9
Jaipur,Clothing,May,40,2578.85,0,2578.85,103154.18,3.1
Kolkata,Furniture,March,12,600.84,15,510.72,6128.59,4.5
Chennai,Clothing,January,28,1934.73,0,1934.73,54172.53,3.6
Chennai,Sports,January,22,4562.36,0,4562.36,100371.97,2.8
Chennai,Clothing,June,36,710.85,0,710.85,25590.5,3.3
Hyderabad,Groceries,May,47,368.33,0,368.33,17311.61,3.0
Mumbai,Toys,February,41,659.91,15,560.92,22997.86,3.8
Bangalore,Sports,February,7,1800.07,5,1710.07,11970.47,4.8
Kolkata,Groceries,March,44,4572.47,0,4572.47,201188.78,3.7
Hyderabad,Toys,January,49,3924.43,10,3531.99,173067.32,4.1
Jaipur,Clothing,May,49,972.38,15,826.52,40499.47,3.6
Jaipur,Sports,June,28,2721.84,0,2721.84,76211.57,3.2
Kolkata,Toys,June,23,2191.27,10,1972.14,45359.2,3.4
Hyderabad,Toys,January,45,1950.86,10,1755.77,79009.71,2.7
Hyderabad,Groceries,February,2,2718.83,0,2718.83,5437.67,3.5
Hyderabad,Groceries,April,1,1738.38,10,1564.54,1564.54,3.4
Delhi,Groceries,June,34,2102.8,15,1787.38,60770.85,4.6
Pune,Toys,January,3,1232.27,10,1109.04,3327.12,3.8
Kolkata,Sports,January,47,2890.27,10,2601.25,122258.56,4.1
Pune,Clothing,March,32,4944.77,10,4450.29,142409.41,4.9
Jaipur,Toys,June,21,2091.32,5,1986.76,41721.88,2.5
Pune,Electronics,May,19,701.61,10,631.45,11997.48,4.0
Jaipur,Clothing,February,1,4105.47,15,3489.65,3489.65,3.3
Pune,Clothing,March,23,267.72,15,227.56,5233.88,4.1
Hyderabad,Sports,January,34,4319.23,10,3887.31,132168.54,4.9
Hyderabad,Furniture,January,10,2872.31,10,2585.07,25850.75,4.7
Kolkata,Electronics,February,17,1416.52,5,1345.69,22876.78,4.1
Pune,Electronics,June,22,4191.16,15,3562.48,78374.66,2.8
Chennai,Toys,February,23,3447.6,5,3275.22,75330.08,3.8
Delhi,Furniture,January,38,429.16,20,343.33,13046.45,4.1
Delhi,Furniture,May,42,786.09,10,707.48,29714.23,4.8
Hyderabad,Groceries,February,12,3202.18,20,2561.74,30740.93,2.9
Chennai,Electronics,February,21,1977.38,5,1878.51,39448.71,3.6
Delhi,Furniture,June,43,1003.42,20,802.73,34517.56,4.0
Delhi,Toys,May,11,1514.6,15,1287.41,14161.5,4.3
Pune,Groceries,June,34,2043.58,20,1634.87,55585.43,3.7
Delhi,Furniture,April,19,3015.88,10,2714.29,51571.58,4.6
Bangalore,Toys,March,34,3154.33,5,2996.61,101884.84,2.8
Mumbai,Electronics,January,25,3554.14,5,3376.43,84410.71,3.6
Bangalore,Groceries,February,37,111.46,10,100.32,3711.72,3.2
Delhi,Furniture,March,37,548.75,10,493.88,18273.45,4.9
Mumbai,Clothing,January,49,1007.15,10,906.44,44415.37,4.3
Chennai,Electronics,May,16,4261.06,0,4261.06,68176.94,4.8
Jaipur,Groceries,February,41,4725.89,5,4489.6,184073.45,4.0
Mumbai,Clothing,May,22,4585.89,20,3668.71,80711.71,4.3
Bangalore,Clothing,March,23,3997.18,15,3397.6,78144.77,4.6
Delhi,Groceries,February,39,281.34,10,253.2,9874.94,3.9
Chennai,Clothing,March,37,2698.3,5,2563.38,94845.22,4.3
Jaipur,Electronics,April,29,3342.11,20,2673.69,77536.96,4.1
Kolkata,Toys,February,44,1241.5,10,1117.35,49163.46,4.7
Hyderabad,Groceries,May,13,1981.42,10,1783.28,23182.65,2.7
Hyderabad,Furniture,May,49,2069.46,20,1655.57,81122.89,3.7
Kolkata,Furniture,January,10,549.33,15,466.93,4669.28,4.3
Hyderabad,Electronics,March,45,1837.65,5,1745.77,78559.48,3.2
Hyderabad,Toys,January,48,187.58,0,187.58,9003.95,2.8
Mumbai,Furniture,April,37,3953.09,10,3557.78,131637.92,4.0
Pune,Sports,March,13,4947.01,15,4204.96,54664.42,2.7
Kolkata,Furniture,May,45,689.66,10,620.69,27931.23,2.9
Delhi,Electronics,January,3,4148.41,20,3318.73,9956.18,2.6
Pune,Electronics,January,35,3026.64,0,3026.64,105932.5,2.9
Delhi,Groceries,February,18,3510.5,10,3159.45,56870.12,4.5
Hyderabad,Toys,May,47,270.84,15,230.21,10820.03,4.0
Delhi,Groceries,January,3,1437.5,20,1150.0,3450.0,4.7
Mumbai,Clothing,April,42,4066.63,0,4066.63,170798.41,3.9
Bangalore,Clothing,April,15,124.9,10,112.41,1686.18,4.3
Delhi,Clothing,June,37,1178.9,20,943.12,34895.37,4.7
Chennai,Electronics,February,40,4426.24,20,3540.99,141639.7,4.8
Bangalore,Clothing,March,13,1408.44,10,1267.59,16478.73,4.7
Jaipur,Electronics,March,48,3570.98,10,3213.88,154266.27,3.1
Chennai,Clothing,April,27,3788.31,20,3030.65,81827.53,4.7
Delhi,Electronics,March,31,4146.5,5,3939.18,122114.49,4.5
Chennai,Sports,February,36,2825.29,20,2260.23,81368.37,3.8
Pune,Clothing,May,46,1699.52,0,1699.52,78178.13,4.1
Pune,Clothing,April,24,4111.53,10,3700.38,88809.03,4.4
Delhi,Electronics,February,28,3199.85,20,2559.88,71676.58,2.8
Jaipur,Furniture,April,4,1574.72,0,1574.72,6298.89,4.4
Mumbai,Clothing,June,1,383.81,10,345.43,345.43,4.6
Hyderabad,Toys,April,36,3273.11,15,2782.14,100157.19,4.4
Pune,Toys,March,33,1685.69,10,1517.12,50065.0,3.1
Pune,Clothing,February,46,2395.84,15,2036.47,93677.47,3.6
Chennai,Electronics,May,29,1562.03,5,1483.93,43034.06,4.4
Jaipur,Sports,March,27,4353.47,15,3700.45,99912.05,2.6
Chennai,Toys,May,20,2048.21,0,2048.21,40964.25,3.6
Bangalore,Electronics,February,38,1226.78,20,981.42,37294.04,3.0
Mumbai,Electronics,April,18,4335.36,10,3901.82,70232.76,4.9
Hyderabad,Electronics,January,29,3905.32,10,3514.79,101928.97,4.6
Jaipur,Groceries,May,44,259.38,15,220.47,9700.75,4.9
Jaipur,Sports,January,30,674.81,0,674.81,20244.3,4.0
Jaipur,Furniture,January,38,1205.15,15,1024.37,38926.24,2.7
Hyderabad,Toys,May,2,4008.04,10,3607.24,7214.47,5.0
Mumbai,Toys,February,30,2023.22,10,1820.9,54626.9,4.2
Mumbai,Furniture,June,41,294.13,10,264.72,10853.48,2.8
Mumbai,Furniture,January,46,798.23,15,678.49,31210.72,4.3
Delhi,Clothing,April,33,2636.79,0,2636.79,87013.97,4.7
Hyderabad,Electronics,May,26,2044.92,5,1942.68,50509.62,4.9
Delhi,Sports,February,15,1080.74,15,918.63,13779.39,2.8
Bangalore,Toys,March,6,3014.41,0,3014.41,18086.43,2.6
Kolkata,Electronics,February,12,4367.75,5,4149.36,49792.34,4.1
Jaipur,Sports,March,7,3338.02,15,2837.32,19861.21,4.0
Hyderabad,Clothing,March,41,903.6,10,813.24,33342.75,4.3
Jaipur,Furniture,May,25,4371.74,5,4153.15,103828.81,3.3
Hyderabad,Furniture,May,8,4371.98,20,3497.58,27980.68,4.1
Bangalore,Furniture,February,6,3624.09,20,2899.27,17395.63,5.0
Mumbai,Groceries,March,28,1077.76,10,969.98,27159.5,3.1
Hyderabad,Electronics,April,49,4354.54,5,4136.81,202703.62,4.4
Jaipur,Toys,April,28,1918.09,15,1630.38,45650.54,3.8
Delhi,Electronics,March,32,2981.49,5,2832.41,90637.18,4.3
Kolkata,Furniture,February,15,4513.44,5,4287.77,64316.51,5.0
Delhi,Sports,May,12,1980.85,5,1881.81,22581.7,4.1
Pune,Electronics,March,26,3607.54,5,3427.17,89106.3,3.1
Hyderabad,Clothing,May,5,438.75,0,438.75,2193.75,3.1
Jaipur,Toys,June,39,1860.24,5,1767.23,68922.02,2.7
Mumbai,Groceries,January,28,1364.85,20,1091.88,30572.73,2.5
Mumbai,Furniture,April,45,1261.44,10,1135.29,51088.18,4.7
Hyderabad,Sports,February,29,1751.32,0,1751.32,50788.15,3.6
Jaipur,Groceries,April,1,1337.39,15,1136.78,1136.78,3.4
Bangalore,Toys,May,12,2425.69,0,2425.69,29108.3,4.3
Kolkata,Furniture,June,44,2745.54,15,2333.71,102683.14,3.2
Delhi,Electronics,May,20,353.31,0,353.31,7066.29,2.8
Hyderabad,Toys,May,5,606.21,10,545.59,2727.96,2.6
Delhi,Furniture,May,24,3461.24,5,3288.18,78916.32,3.3
Chennai,Electronics,March,23,3367.63,15,2862.49,65837.26,2.8
Hyderabad,Toys,April,16,4705.12,15,3999.35,63989.59,4.2
Delhi,Toys,January,8,865.2,20,692.16,5537.3,4.9
Pune,Clothing,January,26,1934.05,5,1837.35,47771.14,3.1
Delhi,Electronics,April,27,4661.65,15,3962.4,106984.84,4.2
Bangalore,Sports,May,48,3291.04,5,3126.49,150071.5,3.4
Delhi,Clothing,June,9,4345.55,0,4345.55,39109.95,4.7
Mumbai,Toys,May,31,3718.4,15,3160.64,97979.87,4.1
Hyderabad,Sports,April,38,2247.04,5,2134.69,81118.31,4.4
Mumbai,Groceries,May,11,1940.79,0,1940.79,21348.73,3.3
Mumbai,Furniture,February,7,2860.85,10,2574.77,18023.36,3.5
Mumbai,Electronics,January,32,1928.93,15,1639.59,52467.0,2.5
Bangalore,Groceries,June,14,3135.5,0,3135.5,43897.04,3.4
Delhi,Clothing,June,28,225.65,5,214.36,6002.19,2.8
Chennai,Clothing,May,15,2714.65,10,2443.19,36647.81,4.4
Hyderabad,Sports,February,44,4782.07,20,3825.65,168328.73,4.6
Bangalore,Toys,April,15,1293.06,10,1163.76,17456.35,3.5
Jaipur,Toys,May,22,1053.34,20,842.67,18538.71,4.0
Chennai,Furniture,June,27,4655.07,15,3956.81,106833.83,3.8
Kolkata,Clothing,April,30,3609.14,0,3609.14,108274.15,4.9
Delhi,Electronics,June,11,703.79,15,598.22,6580.45,3.0
Chennai,Electronics,February,42,4596.99,15,3907.44,164112.44,3.7
Pune,Sports,January,44,312.72,5,297.09,13071.75,2.8
Chennai,Sports,June,21,4432.61,0,4432.61,93084.85,4.5
Pune,Clothing,February,42,4510.11,0,4510.11,189424.76,3.1
Chennai,Furniture,February,24,4130.81,15,3511.19,84268.53,4.2
Mumbai,Clothing,March,36,833.55,5,791.87,28507.39,2.9
Mumbai,Groceries,April,34,2417.17,20,1933.74,65747.04,2.7
Kolkata,Toys,March,28,1110.31,10,999.28,27979.87,3.1
Hyderabad,Toys,May,25,4940.15,10,4446.13,111153.35,4.0
Delhi,Groceries,February,39,3650.13,10,3285.12,128119.65,5.0
Jaipur,Sports,March,4,3649.26,5,3466.8,13867.19,4.8
Chennai,Sports,April,40,3261.92,15,2772.63,110905.29,3.0
Kolkata,Electronics,March,6,1839.48,15,1563.56,9381.36,3.6
Jaipur,Clothing,April,5,442.66,20,354.13,1770.66,3.2
Kolkata,Clothing,March,44,1689.24,10,1520.31,66893.72,3.0
Delhi,Furniture,February,38,2833.14,5,2691.48,102276.31,3.6
Jaipur,Sports,April,36,4812.16,20,3849.73,138590.27,4.2
Mumbai,Clothing,June,30,2306.82,15,1960.79,58823.85,3.4
Jaipur,Furniture,March,16,1974.38,15,1678.22,26851.55,4.9
Hyderabad,Toys,April,40,3866.14,0,3866.14,154645.56,4.6
Chennai,Furniture,June,22,536.71,0,536.71,11807.61,4.0
Jaipur,Sports,April,34,409.23,15,347.85,11826.87,3.3
Delhi,Toys,February,41,529.45,10,476.5,19536.69,3.1
Mumbai,Groceries,March,23,4717.7,5,4481.81,103081.67,3.8
Bangalore,Sports,March,15,4961.57,20,3969.26,59538.89,3.5
Jaipur,Electronics,February,38,4105.5,10,3694.95,140408.22,4.2
Delhi,Sports,June,6,792.26,15,673.42,4040.54,4.5
Pune,Toys,March,2,853.58,10,768.22,1536.44,3.4
Jaipur,Clothing,February,25,2918.3,20,2334.64,58366.01,4.7
Jaipur,Sports,January,46,4501.48,20,3601.19,165654.54,3.3
Bangalore,Electronics,June,25,3364.9,5,3196.66,79916.46,2.7
Delhi,Furniture,January,15,4819.26,15,4096.37,61445.62,4.4
Kolkata,Furniture,May,31,2580.1,5,2451.09,75983.8,3.2
Pune,Sports,May,43,3135.98,15,2665.58,114620.1,3.4
Pune,Groceries,May,19,1039.73,0,1039.73,19754.95,2.6
Bangalore,Clothing,May,31,3505.67,0,3505.67,108675.85,3.6
Mumbai,Groceries,May,9,3935.21,10,3541.69,31875.21,2.9
Kolkata,Furniture,January,4,3202.63,0,3202.63,12810.52,3.1
Jaipur,Furniture,May,36,2682.5,5,2548.38,91741.61,2.8
Jaipur,Sports,May,35,1902.02,15,1616.72,56585.12,3.7
Pune,Toys,May,22,4822.73,5,4581.59,100795.04,2.8
Chennai,Sports,June,15,2952.53,5,2804.9,42073.5,3.0
Chennai,Electronics,May,21,4188.09,20,3350.47,70359.85,4.9
Delhi,Toys,May,32,2490.48,10,2241.44,71725.96,3.2
Bangalore,Toys,April,26,723.28,5,687.11,17864.99,3.3
Jaipur,Clothing,March,41,3109.0,20,2487.2,101975.15,3.6
Chennai,Clothing,May,49,4781.14,0,4781.14,234275.86,4.1
Mumbai,Electronics,February,48,1347.89,5,1280.49,61463.6,4.8
Kolkata,Furniture,May,28,3222.29,5,3061.17,85712.84,3.5
Hyderabad,Electronics,January,23,2640.2,10,2376.18,54652.13,2.8
Jaipur,Electronics,May,8,304.2,0,304.2,2433.58,4.4
Mumbai,Toys,March,24,616.3,0,616.3,14791.22,4.9
Chennai,Clothing,June,36,1813.55,10,1632.19,58758.88,4.2
Jaipur,Groceries,March,5,2793.12,5,2653.46,13267.31,2.6
Kolkata,Furniture,January,31,3934.18,0,3934.18,121959.46,4.9
Pune,Clothing,March,49,1351.53,15,1148.8,56291.06,4.4
Mumbai,Electronics,February,10,4013.7,15,3411.64,34116.45,3.7
Delhi,Sports,May,32,3765.56,15,3200.72,102423.19,2.9
Delhi,Electronics,February,9,1923.62,10,1731.26,15581.31,3.9
Delhi,Electronics,February,22,1441.58,15,1225.34,26957.5,2.8
Kolkata,Groceries,June,49,3264.47,10,2938.03,143963.26,4.2
Hyderabad,Electronics,April,41,2765.68,20,2212.54,90714.34,4.4
Chennai,Sports,June,40,2833.28,15,2408.29,96331.68,2.6
Kolkata,Sports,June,43,1419.72,15,1206.76,51890.89,2.6
Delhi,Clothing,May,21,3657.3,10,3291.57,69123.0,4.9
Pune,Groceries,April,13,2125.74,20,1700.59,22107.7,4.0
Kolkata,Groceries,June,19,842.69,15,716.29,13609.44,4.1
Kolkata,Toys,February,16,4077.59,15,3465.95,55455.17,4.3
Mumbai,Furniture,March,32,4411.1,5,4190.55,134097.46,3.0
Delhi,Toys,June,39,3113.39,5,2957.72,115351.22,3.4
Chennai,Electronics,April,36,125.63,5,119.34,4296.38,4.6
Jaipur,Electronics,June,14,3772.77,20,3018.22,42255.06,3.4
Bangalore,Groceries,June,19,4982.04,15,4234.73,80459.92,3.5
Jaipur,Furniture,February,24,1164.32,5,1106.11,26546.6,3.5
Chennai,Sports,May,10,3135.99,15,2665.59,26655.9,3.0
Chennai,Furniture,January,7,2456.77,10,2211.09,15477.63,2.7
Kolkata,Clothing,April,4,358.74,5,340.8,1363.21,4.0
Bangalore,Furniture,April,19,2541.45,10,2287.31,43458.84,2.6
Chennai,Furniture,June,38,1128.23,15,958.99,36441.69,3.8
Kolkata,Toys,April,30,1708.14,0,1708.14,51244.33,2.7
Jaipur,Electronics,March,28,3704.75,10,3334.27,93359.68,4.3
Hyderabad,Toys,January,17,3224.01,15,2740.41,46586.96,4.5
Bangalore,Sports,June,11,3725.93,5,3539.64,38936.0,4.0
Mumbai,Furniture,May,10,1739.11,20,1391.28,13912.84,4.3
Hyderabad,Sports,June,45,3518.59,10,3166.73,142502.74,3.2
Chennai,Groceries,February,35,2205.32,10,1984.79,69467.53,3.4
Kolkata,Toys,April,49,2232.38,20,1785.91,87509.45,4.3
Delhi,Furniture,June,39,4529.18,10,4076.26,158974.05,3.6
Mumbai,Furniture,June,41,878.65,15,746.85,30620.95,2.8
Mumbai,Furniture,January,36,165.67,15,140.82,5069.59,2.6
Hyderabad,Furniture,March,28,3956.92,5,3759.07,105254.08,3.2
Hyderabad,Clothing,January,13,1413.88,0,1413.88,18380.46,3.7
Kolkata,Groceries,April,18,4541.54,0,4541.54,81747.78,3.4
Delhi,Electronics,March,7,523.48,5,497.31,3481.15,4.3
Bangalore,Furniture,May,42,4156.56,0,4156.56,174575.31,3.7
Chennai,Clothing,May,3,3653.26,20,2922.61,8767.83,3.9
Bangalore,Groceries,January,21,3081.78,0,3081.78,64717.46,3.0
Mumbai,Clothing,May,4,2148.15,0,2148.15,8592.6,4.6
Pune,Electronics,January,24,662.37,5,629.25,15101.98,3.5
Bangalore,Electronics,June,49,2763.34,5,2625.17,128633.35,3.7
Chennai,Toys,February,22,4264.88,5,4051.64,89135.98,2.7
Kolkata,Groceries,May,39,2772.62,15,2356.72,91912.23,3.4
Bangalore,Groceries,January,32,1367.24,15,1162.16,37188.98,3.9
Jaipur,Sports,April,22,187.93,20,150.35,3307.64,4.1
Jaipur,Furniture,June,27,4738.53,5,4501.6,121543.19,4.4
Mumbai,Clothing,January,3,4555.18,0,4555.18,13665.54,3.5
Bangalore,Sports,April,23,4128.31,5,3921.89,90203.47,2.7
